time (ms),Viavi.UE.Rsrp,Viavi.UE.Rsrq,Viavi.UE.RsSinr,Viavi.Cell.beam
1739758277000,-79,20,3,1
1739758277000,-79,20,4,2
1739758277000,-70,20,5,2
1739758277000,-75,20,2,1
1739758277000,-103,8,-16,3
1739758277000,-116,-5,-24,1
1739758277000,-96,11,-13,2
1739758277000,-98,11,-14,1
1739758277000,-82,20,-1,3
1739758277000,-99,6,-18,1
1739758277000,-83,20,-2,2
1739758277000,-87,18,-5,1
1739758277000,-76,20,-1,4
1739758277000,-88,12,-13,2
1739758277000,-100,11,-13,4
1739758277000,-117,-6,-24,1
1739758277000,-82,14,-10,2
1739758277000,-83,14,-10,1
1739758277000,-71,20,6,2
1739758277000,-73,20,4,1
1739758277000,-97,14,-10,3
1739758277000,-110,1,-24,1
1739758277000,-74,20,6,1
1739758277000,-77,20,6,2
1739758277000,-73,20,2,3
1739758277000,-73,20,1,4
1739758277000,-96,11,-13,2
1739758277000,-97,10,-15,1
1739758277000,-85,20,-1,2
1739758277000,-92,16,-7,1
1739758277000,-85,20,-3,2
1739758277000,-88,19,-4,1
1739758277000,-80,20,2,3
1739758277000,-67,20,5,3
1739758277000,-73,20,3,4
1739758277000,-84,20,0,2
1739758277000,-85,20,-1,1
1739758277000,-96,5,-20,1
1739758277000,-96,3,-21,2
1739758277000,-71,20,-2,2
1739758277000,-80,11,-13,1
1739758277000,-100,2,-22,2
1739758277000,-102,2,-23,1
1739758277000,-75,20,-3,1
1739758277000,-77,15,-9,2
1739758277000,-51,20,2,3
1739758277000,-51,20,2,4
1739758277000,-75,20,3,2
1739758277000,-71,20,4,2
1739758277000,-74,20,2,1
1739758277000,-100,-2,-24,4
1739758277000,-113,-15,-24,2
1739758277000,-107,-2,-24,1
1739758277000,-108,-3,-24,2
1739758277000,-102,7,-17,1
1739758277000,-104,3,-21,2
1739758277000,-101,-3,-24,3
1739758277000,-115,-15,-24,2
1739758277000,-98,5,-20,2
1739758277000,-100,5,-19,1
1739758277000,-107,-2,-24,4
1739758277000,-116,-11,-24,2
1739758277000,-87,3,-22,1
1739758277000,-88,3,-22,2
1739758277000,-73,20,7,2
1739758277000,-75,20,7,1
1739758277000,-81,20,-3,4
1739758277000,-91,11,-13,2
1739758277000,-71,20,5,3
1739758277000,-73,20,3,4
1739758277000,-84,15,-9,1
1739758277000,-85,14,-10,2
1739758277000,-89,20,-2,2
1739758277000,-94,16,-7,1
1739758277000,-37,20,2,3
1739758277000,-104,7,-17,4
1739758277000,-117,-6,-24,1
1739758277000,-77,20,2,3
1739758277000,-90,17,-7,4
1739758277000,-100,7,-17,2
1739758277000,-57,20,6,2
1739758277000,-58,20,6,1
1739758277000,-64,20,1,2
1739758277000,-80,13,-11,4
1739758277000,-94,-1,-24,1
1739758277000,-40,20,1,1
1739758277000,-61,20,2,3
1739758277000,-72,20,1,3
1739758277000,-73,20,0,2
1739758277000,-77,19,-4,1
